id,mw,mw_type
ci14745580,5.8,mwc
ci2021449,5.6,mwc
ci2057008,5.26,mw
ci3019681,6.1,mwc
ci3031111,7.3,mww
ci3031425,6.5,mwc
ci3041390,5.43,mw
ci3105173,6.1,mwc
ci3141273,5.8,mwc
ci3144585,6.6,mwc
ci31957759,5.7,mw
ci3231786,5.5,mwc
ci3310205,5.6,mwc
ci3347678,6.6,mw
ci3352060,6.5,mwc
ci38443183,6.5,mww
ci38457511,7.1,mww
ci38457687,5.4,mww
ci39462536,5.5,mww
ci39493944,5.8,mww
ci514869,5.9,mwc
ci628016,6.5,mwc
ci700917,6.0,mwc
ci731691,5.9,mwc
ci9108652,7.1,mww
ci9730174,6.3,mwc
ci9732601,5.8,mwc
gcmtc071203e,5.9,mwc
hv1251379,5.7,mwc
hv19730624,6.38,mw
hv19743383,5.84,mw
hv19744852,5.55,mw
hv19755013,5.89,mw
hv19755025,7.7,mw
hv19793209,5.5,mwc
hv19820171,5.7,mwc
hv19820175,5.6,mwc
hv19832451,5.3,mwc
hv19832953,6.6,mwc
hv311275,6.4,mwc
hv5532127,6.7,mww
hv6000471,6.1,mwc
hv70116411,5.4,mww
hv70116556,6.9,mww
hv70863117,4.9,mww
hv72748782,5.7,mww
hv74103036,5.7,mww
hv74966427,5.9,mww
iscgem16394566,5.78,mw
iscgem17197881,5.8,mww
iscgem17576175,5.67,mw
iscgem227038,5.57,mw
iscgem3265188,5.5,mw
iscgem407189,5.89,mw
iscgem490737,5.53,mw
iscgem511981,5.63,mw
iscgem545335,5.83,mw
iscgem562898,5.84,mw
iscgem562899,6.11,mw
iscgem577797,5.62,mw
iscgem593206,5.5,mw
iscgem597450,7.3,mwc
iscgem600697919,5.99,mw
iscgem615000837,5.6,mw
iscgem619921848,5.5,mw
iscgem623691,5.62,mw
iscgem623712,5.74,mw
iscgem623730,5.56,mw
iscgem631694,5.93,mw
iscgem633220,5.5,mw
iscgem639614,5.69,mw
iscgem642044627,5.68,mw
iscgem677417,5.69,mw
iscgem691017,6.0,mwc
iscgem694739,8.3,mw
iscgem694742,5.52,mw
iscgem701254,5.55,mw
iscgem701256,5.52,mw
iscgem708631,5.7,mw
iscgem708637,5.53,mw
iscgem708639,5.55,mw
iscgem708644,5.56,mw
iscgem719016,6.24,mw
iscgem731814,6.36,mw
iscgem735237,6.32,mw
iscgem7398408,6.51,mw
iscgem7453859,5.95,mw
iscgem753187,6.2,mw
iscgem753910,5.68,mw
iscgem754290,5.7,mw
iscgem754293,5.58,mw
iscgem755470,5.51,mw
iscgem758332,5.51,mw
iscgem765489,5.71,mw
iscgem765494,5.81,mw
iscgem765501,8.0,mw
iscgem765503,5.55,mw
iscgem765504,5.71,mw
iscgem765515,6.05,mw
iscgem765518,5.63,mw
iscgem765522,5.94,mw
iscgem765534,5.62,mw
iscgem765556,6.05,mw
iscgem765596,5.91,mw
iscgem765599,5.85,mw
iscgem765618,7.32,mw
iscgem765638,5.56,mw
iscgem765650,6.0,mw
iscgem765674,5.71,mw
iscgem765703,5.89,mw
iscgem765720,5.99,mw
iscgem765733,5.9,mw
iscgem765745,5.81,mw
iscgem765803,5.87,mw
iscgem765813,5.62,mw
iscgem765821,5.62,mw
iscgem765843,5.9,mw
iscgem765851,5.6,mw
iscgem765872,6.18,mw
iscgem765877,5.5,mw
iscgem765878,5.88,mw
iscgem765901,5.89,mw
iscgem765916,5.55,mw
iscgem765962,6.1,mw
iscgem765985,5.77,mw
iscgem766059,5.85,mw
iscgem766065,5.81,mw
iscgem766079,5.68,mw
iscgem766165,5.66,mw
iscgem766217,5.75,mw
iscgem766232,5.56,mw
iscgem766233,6.27,mw
iscgem766282,5.73,mw
iscgem766294,5.6,mw
iscgem766314,5.62,mw
iscgem766341,6.06,mw
iscgem766360,5.8,mw
iscgem766448,5.5,mw
iscgem766508,5.68,mw
iscgem766527,5.64,mw
iscgem766534,6.56,mw
iscgem766541,6.04,mw
iscgem766571,6.28,mw
iscgem766629,5.74,mw
iscgem766644,5.76,mw
iscgem766673,5.89,mw
iscgem766720,5.55,mw
iscgem766744,5.5,mw
iscgem766752,6.1,mw
iscgem766756,6.02,mw
iscgem766762,5.93,mw
iscgem766774,5.69,mw
iscgem766778,5.6,mw
iscgem766781,5.76,mw
iscgem766799,6.14,mw
iscgem766807,5.63,mw
iscgem766810,5.65,mw
iscgem766822,5.94,mw
iscgem766897,5.51,mw
iscgem766918,5.79,mw
iscgem766936,7.0,mw
iscgem766961,5.55,mw
iscgem766965,5.79,mw
iscgem766971,5.55,mw
iscgem766972,5.52,mw
iscgem766973,5.72,mw
iscgem766980,6.22,mw
iscgem766990,5.75,mw
iscgem767020,6.0,mw
iscgem767054,5.84,mw
iscgem767086,5.62,mw
iscgem767125,5.91,mw
iscgem767147,5.53,mw
iscgem767161,5.77,mw
iscgem767168,6.1,mw
iscgem767196,5.88,mw
iscgem767212,5.67,mw
iscgem767268,5.63,mw
iscgem767271,5.62,mw
iscgem767290,6.2,mw
iscgem767301,6.77,mw
iscgem767307,5.8,mw
iscgem767329,5.93,mw
iscgem767370,5.53,mw
iscgem767401,5.91,mw
iscgem767414,5.81,mw
iscgem767428,5.85,mw
iscgem767450,5.5,mw
iscgem767495,5.68,mw
iscgem767507,5.64,mw
iscgem767511,5.67,mw
iscgem767527,5.55,mw
iscgem767532,5.56,mw
iscgem767540,5.53,mw
iscgem767545,5.8,mw
iscgem767547,6.54,mw
iscgem767558,5.71,mw
iscgem767568,5.62,mw
iscgem767595,5.9,mw
iscgem767601,5.57,mw
iscgem767673,5.61,mw
iscgem767686,5.68,mw
iscgem767712,5.52,mw
iscgem767743,5.58,mw
iscgem767748,5.66,mw
iscgem767767,5.61,mw
iscgem767772,5.6,mw
iscgem767788,6.32,mw
iscgem767845,5.51,mw
iscgem767870,5.5,mw
iscgem767932,5.9,mw
iscgem767972,5.55,mw
iscgem767995,5.52,mw
iscgem768110,5.67,mw
iscgem768118,6.31,mw
iscgem768140,5.74,mw
iscgem768245,5.71,mw
iscgem768303,5.52,mw
iscgem768305,5.8,mw
iscgem768318,5.93,mw
iscgem768339,5.6,mw
iscgem768340,5.62,mw
iscgem768363,5.52,mw
iscgem768375,5.89,mw
iscgem768376,5.51,mw
iscgem768467,5.9,mw
iscgem768494,5.9,mw
iscgem768533,6.22,mw
iscgem768538,6.64,mw
iscgem768559,5.54,mw
iscgem768580,5.5,mw
iscgem768644,5.56,mw
iscgem768683,5.55,mw
iscgem768705,5.54,mw
iscgem768710,5.6,mw
iscgem768719,5.55,mw
iscgem768732,6.27,mw
iscgem768753,5.65,mw
iscgem768757,6.3,mw
iscgem768758,5.9,mw
iscgem768802,5.53,mw
iscgem768814,5.5,mw
iscgem768827,5.5,mw
iscgem768851,6.1,mw
iscgem768886,5.9,mw
iscgem768900,6.02,mw
iscgem768911,6.2,mw
iscgem768932,5.65,mw
iscgem768956,6.22,mw
iscgem768963,5.85,mw
iscgem768987,6.2,mw
iscgem769036,5.51,mw
iscgem769051,5.69,mw
iscgem769065,5.54,mw
iscgem769082,5.92,mw
iscgem769103,6.28,mw
iscgem769104,6.35,mw
iscgem769151,5.57,mw
iscgem769158,5.6,mw
iscgem769181,5.76,mw
iscgem769184,5.66,mw
iscgem769197,5.76,mw
iscgem769213,6.27,mw
iscgem769237,6.28,mw
iscgem769262,6.23,mw
iscgem769268,5.71,mw
iscgem769303,5.63,mw
iscgem769305,5.72,mw
iscgem769309,6.1,mw
iscgem769332,5.62,mw
iscgem769363,5.83,mw
iscgem769369,6.4,mw
iscgem769371,5.66,mw
iscgem769392,5.57,mw
iscgem769415,5.7,mw
iscgem769420,5.84,mw
iscgem769434,5.55,mw
iscgem769443,5.94,mw
iscgem769447,5.67,mw
iscgem769451,5.89,mw
iscgem769461,5.56,mw
iscgem769484,6.16,mw
iscgem769592,5.6,mw
iscgem769608,6.16,mw
iscgem769642,5.84,mw
iscgem769647,5.52,mw
iscgem769666,5.7,mw
iscgem769674,5.58,mw
iscgem769685,5.56,mw
iscgem769687,5.65,mw
iscgem769692,5.6,mw
iscgem769749,5.73,mw
iscgem769763,5.58,mw
iscgem769766,6.3,mw
iscgem769785,5.85,mw
iscgem769882,6.8,mw
iscgem769886,5.54,mw
iscgem769890,5.99,mw
iscgem769955,6.0,mw
iscgem769959,5.75,mw
iscgem769977,6.19,mw
iscgem769994,5.82,mw
iscgem770048,5.95,mw
iscgem770064,5.81,mw
iscgem770073,5.75,mw
iscgem770115,5.62,mw
iscgem770161,5.54,mw
iscgem770163,6.08,mw
iscgem770175,6.33,mw
iscgem770183,5.64,mw
iscgem770184,5.56,mw
iscgem770193,5.65,mw
iscgem770229,6.1,mw
iscgem770242,6.28,mw
iscgem770248,6.07,mw
iscgem770253,6.09,mw
iscgem770271,5.5,mw
iscgem770273,6.05,mw
iscgem770308,6.34,mw
iscgem770325,5.71,mw
iscgem770351,6.09,mw
iscgem770356,5.59,mw
iscgem770384,5.74,mw
iscgem770396,5.9,mw
iscgem770421,5.62,mw
iscgem770453,5.65,mw
iscgem770466,5.62,mw
iscgem770467,5.51,mw
iscgem770502,5.87,mw
iscgem770510,5.86,mw
iscgem770574,5.62,mw
iscgem770580,5.6,mw
iscgem770627,5.81,mw
iscgem770658,5.52,mw
iscgem770672,7.5,mw
iscgem770674,6.09,mw
iscgem770677,5.73,mw
iscgem770751,5.65,mw
iscgem770755,5.65,mw
iscgem770771,6.23,mw
iscgem770773,5.76,mw
iscgem770851,5.65,mw
iscgem771000,5.59,mw
iscgem771053,6.1,mw
iscgem771069,5.68,mw
iscgem771107,6.45,mw
iscgem771120,5.6,mw
iscgem771137,5.81,mw
iscgem771140,5.71,mw
iscgem771213,5.56,mw
iscgem771233,5.73,mw
iscgem771244,5.61,mw
iscgem771270,5.69,mw
iscgem771272,5.74,mw
iscgem771290,5.99,mw
iscgem771324,6.07,mw
iscgem771387,5.75,mw
iscgem771389,5.63,mw
iscgem771410,5.89,mw
iscgem771416,5.58,mw
iscgem771420,5.62,mw
iscgem771492,5.63,mw
iscgem771529,5.69,mw
iscgem771602,5.59,mw
iscgem771609,5.79,mw
iscgem771618,5.84,mw
iscgem771781,5.72,mw
iscgem771798,5.9,mw
iscgem771830,6.57,mw
iscgem771868,5.66,mw
iscgem772000,6.17,mw
iscgem772022,5.74,mw
iscgem772031,5.53,mw
iscgem772048,5.93,mw
iscgem772054,5.98,mw
iscgem772060,7.6,mw
iscgem772073,5.84,mw
iscgem772093,5.86,mw
iscgem772160,5.57,mw
iscgem772212,5.81,mw
iscgem772242,5.53,mw
iscgem772246,5.7,mw
iscgem772276,5.7,mw
iscgem772287,5.76,mw
iscgem772297,5.69,mw
iscgem772319,5.6,mw
iscgem772321,5.63,mw
iscgem772339,5.68,mw
iscgem772340,6.83,mw
iscgem772347,5.7,mw
iscgem772416,7.72,mw
iscgem772418,5.71,mw
iscgem772427,5.54,mw
iscgem772453,5.55,mw
iscgem772465,6.11,mw
iscgem772491,5.73,mw
iscgem772500,5.79,mw
iscgem772520,5.51,mw
iscgem772563,5.67,mw
iscgem772568,5.62,mw
iscgem772632,5.71,mw
iscgem772652,5.51,mw
iscgem772677,5.5,mw
iscgem772696,5.85,mw
iscgem772744,6.01,mw
iscgem772832,6.18,mw
iscgem772849,5.81,mw
iscgem772896,5.5,mw
iscgem772898,5.78,mw
iscgem772903,5.53,mw
iscgem772947,5.53,mw
iscgem772960,5.6,mw
iscgem773005,5.53,mw
iscgem773022,5.53,mw
iscgem773032,5.55,mw
iscgem773057,5.57,mw
iscgem773060,5.56,mw
iscgem773072,5.56,mw
iscgem773076,6.1,mw
iscgem773119,5.63,mw
iscgem773128,6.71,mw
iscgem773147,6.21,mw
iscgem773154,5.77,mw
iscgem773172,6.56,mw
iscgem773228,5.62,mw
iscgem773235,6.27,mw
iscgem773238,5.76,mw
iscgem773250,5.75,mw
iscgem773264,6.06,mw
iscgem773296,5.99,mw
iscgem773323,5.77,mw
iscgem773343,5.81,mw
iscgem773347,5.79,mw
iscgem773377,5.95,mw
iscgem773381,5.83,mw
iscgem773410,5.55,mw
iscgem773429,5.81,mw
iscgem773444,5.61,mw
iscgem773464,5.56,mw
iscgem773472,5.98,mw
iscgem773503,5.81,mw
iscgem773505,5.55,mw
iscgem773549,6.16,mw
iscgem773577,5.78,mw
iscgem773632,5.84,mw
iscgem773679,5.51,mw
iscgem773683,5.71,mw
iscgem773701,6.91,mw
iscgem773704,5.65,mw
iscgem773729,7.05,mw
iscgem773772,6.06,mw
iscgem773833,5.54,mw
iscgem773858,5.88,mw
iscgem773883,6.38,mw
iscgem774029,6.37,mw
iscgem774042,5.71,mw
iscgem774049,6.01,mw
iscgem774054,5.71,mw
iscgem774055,5.61,mw
iscgem774059,6.51,mw
iscgem774085,5.75,mw
iscgem774087,5.7,mw
iscgem774129,6.78,mw
iscgem774175,5.53,mw
iscgem774234,5.63,mw
iscgem774236,5.6,mw
iscgem774291,6.6,mw
iscgem774329,6.65,mw
iscgem774380,5.55,mw
iscgem774445,5.58,mw
iscgem774460,5.72,mw
iscgem774517,5.92,mw
iscgem774536,6.3,mw
iscgem774574,5.63,mw
iscgem774619,5.79,mw
iscgem774628,5.94,mw
iscgem774638,5.98,mw
iscgem774688,5.67,mw
iscgem774701,6.16,mw
iscgem774714,7.0,mw
iscgem774740,5.88,mw
iscgem774772,7.34,mw
iscgem774780,5.83,mw
iscgem774788,5.88,mw
iscgem774810,5.54,mw
iscgem774826,5.93,mw
iscgem774835,5.76,mw
iscgem774852,5.58,mw
iscgem774874,5.5,mw
iscgem774887,7.2,mw
iscgem774907,5.64,mw
iscgem774908,5.52,mw
iscgem774926,5.93,mw
iscgem774945,6.02,mw
iscgem774973,5.73,mw
iscgem774980,5.58,mw
iscgem775013,5.5,mw
iscgem775069,5.62,mw
iscgem775173,5.61,mw
iscgem775188,5.73,mw
iscgem775192,6.64,mw
iscgem775212,5.59,mw
iscgem775213,5.9,mw
iscgem775244,5.58,mw
iscgem775338,5.62,mw
iscgem775356,5.69,mw
iscgem775367,5.55,mw
iscgem775381,5.56,mw
iscgem775410,5.66,mw
iscgem775466,5.85,mw
iscgem775471,5.67,mw
iscgem775484,6.24,mw
iscgem775498,6.4,mw
iscgem775499,5.54,mw
iscgem775512,5.83,mw
iscgem775519,5.79,mw
iscgem775534,5.55,mw
iscgem775569,5.5,mw
iscgem775574,6.8,mw
iscgem775580,5.59,mw
iscgem775584,5.98,mw
iscgem775586,5.52,mw
iscgem775606,5.71,mw
iscgem775639,6.36,mw
iscgem775657,5.76,mw
iscgem775660,5.74,mw
iscgem775662,5.54,mw
iscgem775668,5.88,mw
iscgem775674,5.65,mw
iscgem775684,6.36,mw
iscgem775692,6.19,mw
iscgem775721,5.5,mw
iscgem775750,5.68,mw
iscgem775781,7.25,mw
iscgem775792,5.81,mw
iscgem775818,5.79,mw
iscgem775844,6.1,mw
iscgem775862,5.81,mw
iscgem775921,5.57,mw
iscgem775959,5.56,mw
iscgem776029,5.8,mw
iscgem776035,5.79,mw
iscgem776055,5.79,mw
iscgem776064,5.9,mw
iscgem776099,6.0,mw
iscgem776156,5.92,mw
iscgem776175,5.73,mw
iscgem776186,5.92,mw
iscgem776188,5.83,mw
iscgem776200,7.4,mw
iscgem776227,5.8,mw
iscgem776232,5.57,mw
iscgem776235,5.71,mw
iscgem776261,5.6,mw
iscgem776309,6.09,mw
iscgem776315,5.58,mw
iscgem776334,5.88,mw
iscgem776372,5.79,mw
iscgem776405,5.51,mw
iscgem776417,5.81,mw
iscgem776426,5.51,mw
iscgem776433,5.71,mw
iscgem776454,6.3,mw
iscgem776482,5.51,mw
iscgem776489,5.82,mw
iscgem776553,7.15,mw
iscgem776554,6.05,mw
iscgem776618,6.77,mw
iscgem776638,5.77,mw
iscgem776640,5.6,mw
iscgem776661,5.77,mw
iscgem776670,6.9,mw
iscgem776687,5.62,mw
iscgem776721,6.13,mw
iscgem776734,5.85,mw
iscgem776759,6.0,mw
iscgem776779,5.6,mw
iscgem776783,6.4,mw
iscgem776788,5.84,mw
iscgem776790,5.99,mw
iscgem776874,6.39,mw
iscgem776886,5.68,mw
iscgem776904,5.77,mw
iscgem776936,5.92,mw
iscgem776951,6.2,mw
iscgem776997,5.71,mw
iscgem777003,5.55,mw
iscgem777005,5.71,mw
iscgem777013,6.52,mw
iscgem777014,6.13,mw
iscgem777043,6.36,mw
iscgem777108,6.09,mw
iscgem777120,6.06,mw
iscgem777137,6.3,mw
iscgem777142,5.71,mw
iscgem777160,5.88,mw
iscgem777161,5.95,mw
iscgem777164,6.93,mw
iscgem777165,5.88,mw
iscgem777173,6.1,mw
iscgem777202,5.66,mw
iscgem777208,7.3,mw
iscgem777209,7.11,mw
iscgem777243,5.53,mw
iscgem777250,5.61,mw
iscgem777263,6.53,mw
iscgem777303,6.05,mw
iscgem777336,5.57,mw
iscgem777414,6.56,mw
iscgem777470,5.56,mw
iscgem777492,6.03,mw
iscgem777545,6.16,mw
iscgem777551,5.79,mw
iscgem777559,5.5,mw
iscgem777577,5.69,mw
iscgem777583,5.5,mw
iscgem777588,6.1,mw
iscgem777603,5.88,mw
iscgem777617,6.07,mw
iscgem777656,5.61,mw
iscgem777661,6.35,mw
iscgem777680,5.62,mw
iscgem777750,7.62,mw
iscgem777758,5.57,mw
iscgem777807,5.83,mw
iscgem777845,5.64,mw
iscgem777847,6.3,mw
iscgem777881,5.63,mw
iscgem777891,5.91,mw
iscgem777900,5.53,mw
iscgem777909,5.59,mw
iscgem777910,5.55,mw
iscgem778035,5.63,mw
iscgem778072,5.58,mw
iscgem778073,5.59,mw
iscgem778078,5.91,mw
iscgem778097,5.86,mw
iscgem778120,5.71,mw
iscgem778161,5.63,mw
iscgem778212,5.68,mw
iscgem778319,5.61,mw
iscgem778328,5.63,mw
iscgem778331,5.62,mw
iscgem778373,5.77,mw
iscgem778388,6.04,mw
iscgem778408,5.62,mw
iscgem778432,5.5,mw
iscgem778441,5.59,mw
iscgem778478,5.72,mw
iscgem778645,5.57,mw
iscgem778677,6.47,mw
iscgem778692,5.88,mw
iscgem778697,7.1,mw
iscgem778698,6.08,mw
iscgem778699,5.65,mw
iscgem778718,5.98,mw
iscgem778748,5.57,mw
iscgem778764,5.55,mw
iscgem778801,5.77,mw
iscgem778805,7.3,mw
iscgem778871,6.15,mw
iscgem778892,5.9,mw
iscgem778896,5.53,mw
iscgem778920,5.77,mw
iscgem778929,5.57,mw
iscgem778949,5.92,mw
iscgem779000,5.74,mw
iscgem779005,6.7,mw
iscgem779023,6.71,mw
iscgem779151,5.5,mw
iscgem779153,5.74,mw
iscgem779167,5.5,mw
iscgem779172,5.6,mw
iscgem779208,5.79,mw
iscgem779252,5.65,mw
iscgem779286,5.51,mw
iscgem779299,5.79,mw
iscgem779313,5.91,mw
iscgem779325,6.56,mw
iscgem779337,5.58,mw
iscgem779353,5.64,mw
iscgem779376,5.62,mw
iscgem779394,5.51,mw
iscgem779410,6.13,mw
iscgem779432,5.81,mw
iscgem779458,5.81,mw
iscgem779488,5.53,mw
iscgem779543,6.31,mw
iscgem779563,6.54,mw
iscgem779564,5.73,mw
iscgem779569,6.51,mw
iscgem779574,6.2,mw
iscgem779594,5.67,mw
iscgem779613,6.24,mw
iscgem779630,5.55,mw
iscgem779659,5.63,mw
iscgem779680,5.84,mw
iscgem779689,6.8,mw
iscgem779693,5.53,mw
iscgem779742,6.64,mw
iscgem779780,5.71,mw
iscgem779816,5.7,mw
iscgem779829,6.02,mw
iscgem779845,5.96,mw
iscgem779889,5.54,mw
iscgem779903,5.63,mw
iscgem779944,5.92,mw
iscgem779955,5.68,mw
iscgem779972,7.3,mw
iscgem779973,5.74,mw
iscgem779990,5.55,mw
iscgem779996,5.74,mw
iscgem780012,6.11,mw
iscgem780069,5.93,mw
iscgem780077,6.81,mw
iscgem780102,6.51,mw
iscgem780117,5.66,mw
iscgem780154,5.5,mw
iscgem780161,6.19,mw
iscgem780171,6.04,mw
iscgem780221,6.01,mw
iscgem780264,5.53,mw
iscgem780285,6.11,mw
iscgem780286,6.13,mw
iscgem780288,6.33,mw
iscgem780311,5.83,mw
iscgem780342,6.0,mw
iscgem780383,5.58,mw
iscgem780488,5.54,mw
iscgem780507,5.51,mw
iscgem780523,5.89,mw
iscgem780533,5.5,mw
iscgem780549,5.5,mw
iscgem780560,6.31,mw
iscgem780563,5.81,mw
iscgem780598,5.65,mw
iscgem780625,5.78,mw
iscgem780629,5.61,mw
iscgem780632,5.79,mw
iscgem780659,5.67,mw
iscgem780665,6.51,mw
iscgem780674,6.27,mw
iscgem780694,5.7,mw
iscgem780698,5.75,mw
iscgem780731,6.5,mw
iscgem780737,5.68,mw
iscgem780752,5.8,mw
iscgem780753,6.03,mw
iscgem780765,5.66,mw
iscgem780810,5.65,mw
iscgem780812,5.84,mw
iscgem780829,7.01,mw
iscgem780834,5.62,mw
iscgem780843,5.58,mw
iscgem780929,7.06,mw
iscgem780933,5.52,mw
iscgem780958,5.58,mw
iscgem781004,5.56,mw
iscgem781046,5.65,mw
iscgem781062,5.64,mw
iscgem781078,6.35,mw
iscgem781082,6.27,mw
iscgem781099,5.76,mw
iscgem781111,6.01,mw
iscgem781126,5.71,mw
iscgem781129,5.55,mw
iscgem781143,6.19,mw
iscgem781149,5.84,mw
iscgem781160,5.58,mw
iscgem781171,5.84,mw
iscgem781200,5.67,mw
iscgem781208,6.05,mw
iscgem781224,5.59,mw
iscgem781234,6.49,mw
iscgem781235,6.57,mw
iscgem781247,5.86,mw
iscgem781276,5.5,mw
iscgem781293,5.88,mw
iscgem781294,5.8,mw
iscgem781303,5.78,mw
iscgem781305,5.86,mw
iscgem781312,5.54,mw
iscgem781334,5.58,mw
iscgem781373,6.05,mw
iscgem781377,5.53,mw
iscgem781391,6.35,mw
iscgem781393,5.5,mw
iscgem781421,6.04,mw
iscgem781442,5.64,mw
iscgem781503,6.52,mw
iscgem781506,5.65,mw
iscgem781531,6.13,mw
iscgem781537,5.74,mw
iscgem781556,5.53,mw
iscgem781562,5.88,mw
iscgem781570,5.55,mw
iscgem781625,5.84,mw
iscgem781636,5.75,mw
iscgem781694,5.5,mw
iscgem781715,5.77,mw
iscgem781730,5.5,mw
iscgem781770,5.69,mw
iscgem781837,6.11,mw
iscgem781869,5.59,mw
iscgem781878,5.62,mw
iscgem781910,5.82,mw
iscgem781986,5.53,mw
iscgem782004,6.2,mw
iscgem782010,7.8,mw
iscgem782022,5.75,mw
iscgem782059,5.81,mw
iscgem782093,6.4,mw
iscgem782114,5.79,mw
iscgem782137,5.82,mw
iscgem782142,5.53,mw
iscgem782177,5.55,mw
iscgem782181,8.0,mw
iscgem782183,5.76,mw
iscgem782184,6.01,mw
iscgem782204,5.59,mw
iscgem782231,6.12,mw
iscgem782235,5.53,mw
iscgem782236,6.49,mw
iscgem782253,5.63,mw
iscgem782261,5.75,mw
iscgem782311,5.52,mw
iscgem782364,5.62,mw
iscgem782377,6.16,mw
iscgem782379,5.68,mw
iscgem782391,5.5,mw
iscgem782405,5.6,mw
iscgem782428,6.51,mw
iscgem782440,6.86,mw
iscgem782464,5.78,mw
iscgem782466,6.35,mw
iscgem782501,5.86,mw
iscgem782508,5.76,mw
iscgem782532,5.77,mw
iscgem782623,5.72,mw
iscgem782654,6.48,mw
iscgem782658,5.56,mw
iscgem782660,6.4,mw
iscgem782684,8.1,mw
iscgem782687,5.93,mw
iscgem782703,6.0,mw
iscgem782715,6.04,mw
iscgem782731,5.51,mw
iscgem782735,5.79,mw
iscgem782752,6.27,mw
iscgem782757,5.79,mw
iscgem782764,5.86,mw
iscgem782768,6.04,mw
iscgem782791,5.69,mw
iscgem782797,7.42,mw
iscgem782819,5.86,mw
iscgem782831,5.69,mw
iscgem782847,5.88,mw
iscgem782863,5.68,mw
iscgem782874,6.45,mw
iscgem782884,5.78,mw
iscgem782888,6.43,mw
iscgem782918,5.75,mw
iscgem782989,5.63,mw
iscgem782999,5.57,mw
iscgem783000,5.86,mw
iscgem783013,5.72,mw
iscgem783017,5.64,mw
iscgem783024,5.65,mw
iscgem783067,5.61,mw
iscgem783167,5.65,mw
iscgem783172,5.7,mw
